,Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,VideoAmt,Description,PhotoAmt,AdoptionSpeed
0,2,0,3,299,0,1,1,7,0,1,1,2,2,2,1,1,100,0,359,1,2
1,2,0,1,265,0,1,1,2,0,2,2,3,3,3,1,1,0,0,118,2,0
2,1,0,1,307,0,1,2,7,0,2,2,1,1,2,1,1,0,0,393,7,3
3,1,0,4,307,0,2,1,2,0,2,1,1,1,2,1,1,150,0,149,8,2
4,1,0,1,307,0,1,1,0,0,2,1,2,2,2,1,1,0,0,390,3,2
5,2,0,3,266,0,2,5,6,0,2,1,2,2,2,1,1,0,0,87,2,2
6,2,0,12,264,264,1,1,0,0,2,3,2,2,3,1,1,300,0,400,3,1
7,1,0,0,307,0,2,1,2,7,2,1,2,2,2,1,6,0,0,111,9,3
8,2,0,2,265,0,2,6,0,0,2,2,2,2,2,1,1,0,0,79,6,1
9,2,0,12,265,0,2,1,7,0,2,2,3,3,3,1,1,0,0,232,2,4
10,1,0,2,307,0,1,1,2,7,2,1,2,1,2,1,1,0,0,68,7,1
11,2,0,3,264,0,2,1,2,5,3,3,1,1,2,1,1,50,0,658,2,1
12,1,0,2,307,0,1,2,5,6,2,3,1,1,2,1,1,0,0,240,1,2
13,2,0,2,265,0,3,1,6,7,1,2,2,2,3,1,7,0,0,505,1,1
14,1,0,3,307,0,2,2,5,7,2,2,3,3,3,1,1,0,0,375,2,2
15,1,0,78,218,205,1,1,7,0,2,2,3,3,3,1,1,0,0,357,2,4
16,2,0,6,266,0,2,2,0,0,1,1,1,1,1,1,1,0,0,39,1,3
17,1,0,8,307,307,2,2,0,0,2,1,2,1,1,1,1,10,0,273,2,4
18,1,0,2,307,0,2,1,0,0,2,1,2,1,2,1,1,0,0,680,8,2
19,2,0,1,266,0,3,1,2,7,1,1,2,2,2,1,5,0,0,535,1,4
20,1,0,12,307,0,2,2,7,0,2,2,2,1,1,1,1,0,0,434,7,2
21,1,0,3,307,0,2,6,0,0,2,1,2,1,2,1,3,0,0,94,5,4
22,2,0,0,114,0,3,3,6,7,2,2,2,2,3,1,10,0,0,111,0,4
23,1,0,10,307,117,2,1,2,7,2,2,1,1,1,1,1,0,0,339,0,4
24,2,0,3,266,0,1,2,7,0,1,1,2,1,2,1,1,0,0,209,19,1
25,2,0,36,285,251,1,3,0,0,3,2,1,1,1,1,1,0,0,347,3,2
26,2,0,2,285,265,1,3,0,0,2,2,2,2,2,1,1,0,0,54,11,1
27,2,0,1,266,0,2,1,0,0,2,1,2,2,2,1,1,0,0,94,2,2
28,1,0,14,189,0,1,1,2,0,3,1,1,1,2,1,1,1,0,172,0,3
29,2,0,1,266,0,2,2,7,0,1,1,2,1,2,1,1,0,0,296,1,2
30,1,0,4,205,218,3,2,7,0,1,2,1,1,1,1,2,0,0,215,5,3
31,2,0,1,266,0,1,1,0,0,1,1,2,2,2,1,1,0,0,3,1,1
32,1,0,24,307,0,1,5,7,0,2,1,1,1,2,1,5,0,0,296,1,4
33,2,0,4,266,0,2,1,6,7,1,1,2,2,2,1,2,0,0,338,7,3
34,2,0,3,266,0,2,1,7,0,1,1,1,2,2,1,1,1,0,20,5,4
35,2,0,12,264,0,2,6,0,0,2,3,2,2,2,1,1,0,0,22,5,1
36,2,0,24,265,292,2,1,4,0,2,2,1,1,3,1,3,0,0,29,2,4
37,2,0,2,265,0,2,2,0,0,1,2,2,2,2,1,1,0,0,203,3,1
38,1,0,12,307,0,1,1,0,0,2,1,2,2,2,1,1,0,0,236,4,1
39,1,0,12,307,0,1,5,0,0,2,2,1,1,2,1,1,0,0,101,1,3
40,2,0,2,265,266,2,7,0,0,2,2,2,1,2,1,1,0,0,929,13,3
41,2,0,1,266,0,3,1,2,7,1,1,2,2,2,1,3,0,0,91,1,2
42,2,0,24,292,285,2,7,0,0,2,3,3,3,3,2,6,0,0,138,1,1
43,1,0,5,128,307,1,7,0,0,2,1,1,1,1,1,1,0,0,245,6,3
44,1,0,12,307,0,1,2,7,0,2,2,2,1,1,1,1,0,0,238,2,4
45,1,0,4,307,0,1,1,7,0,2,1,2,2,2,1,2,0,0,406,11,4
46,2,0,5,265,0,1,4,7,0,1,3,1,1,2,1,1,0,0,424,13,3
47,1,0,72,307,0,2,2,7,0,2,1,1,1,1,1,1,0,0,280,3,4
48,1,0,1,307,0,3,1,2,0,2,1,3,3,2,1,9,0,0,118,3,3
